"Interest","CareerGoal","Skills","Course"
"Automobile Design","Automotive Engineer","CAD, Thermodynamics, Problem Solving","Mechanical Engineering"
"Robotics","Robotics Engineer","Mechanics, Programming, Math","Mechanical Engineering"
"Energy Systems","Energy Analyst","Renewable Energy, Data Analysis, Technical Writing","Mechanical Engineering"
"Manufacturing","Production Manager","Lean Manufacturing, Leadership, Quality Control","Mechanical Engineering"
"Aerospace","Aerospace Engineer","Fluid Dynamics, Materials Science, CAD","Mechanical Engineering"
"Patient Care","Registered Nurse","Empathy, Clinical Skills, Communication","BSc Nursing"
"Pediatrics","Pediatric Nurse","Child Psychology, Patience, Medical Knowledge","BSc Nursing"
"Emergency Medicine","Emergency Room Nurse","Quick Decision Making, CPR, Stress Management","BSc Nursing"
"Geriatrics","Geriatric Nurse","Compassion, Patient Monitoring, Rehabilitation","BSc Nursing"
"Nursing Education","Nurse Educator","Teaching, Curriculum Design, Clinical Expertise","BSc Nursing"
"Clinical Pharmacy","Clinical Pharmacist","Pharmacology, Patient Counseling, Drug Interactions","BPharmacy"
"Pharmaceutical Research","Research Scientist","Lab Techniques, Data Analysis, Chemistry","BPharmacy"
"Regulatory Affairs","Regulatory Specialist","Compliance, Documentation, Attention to Detail","BPharmacy"
"Hospital Pharmacy","Hospital Pharmacist","Medication Management, Inventory Control, Ethics","BPharmacy"
"Drug Safety","Pharmacovigilance Associate","Risk Assessment, Signal Detection, Reporting","BPharmacy"
"Power Systems","Power Engineer","Circuit Analysis, Renewable Energy, Problem Solving","Electrical Engineering"
"Electronics","Electronics Design Engineer","PCB Design, Embedded Systems, Soldering","Electrical Engineering"
"Control Systems","Automation Engineer","PLC Programming, Robotics, Math","Electrical Engineering"
"Telecommunications","Telecom Engineer","Signal Processing, Networking, RF Design","Electrical Engineering"
"Microelectronics","Chip Designer","VLSI, Semiconductor Physics, Simulation","Electrical Engineering"
"Structural Design","Structural Engineer","AutoCAD, Stress Analysis, Math","Civil Engineering"
"Construction Management","Project Manager","Scheduling, Budgeting, Leadership","Civil Engineering"
"Transportation","Transportation Planner","Traffic Modeling, GIS, Urban Planning","Civil Engineering"
"Geotechnical","Geotechnical Engineer","Soil Mechanics, Site Investigation, Report Writing","Civil Engineering"
"Environmental Engineering","Environmental Consultant","Water Treatment, Sustainability, Regulations","Civil Engineering"
"Marketing","Marketing Manager","Market Research, Communication, Creativity","BBM"
"Finance","Financial Analyst","Excel, Financial Modeling, Analytical Thinking","BBM"
"Human Resources","HR Generalist","Recruitment, Employee Relations, Conflict Resolution","BBM"
"Operations","Operations Manager","Supply Chain, Process Improvement, Leadership","BBM"
"Entrepreneurship","Business Owner","Risk Management, Strategic Planning, Networking","BBM"
"Print Journalism","Reporter","Writing, Interviewing, Fact-Checking","BJMC"
"Broadcast Media","News Anchor","Public Speaking, Scriptwriting, Video Editing","BJMC"
"Digital Media","Content Creator","Social Media, SEO, Storytelling","BJMC"
"Advertising","Copywriter","Creativity, Persuasion, Branding","BJMC"
"Public Relations","PR Specialist","Media Relations, Crisis Communication, Event Planning","BJMC"
"Clinical Psychology","Clinical Psychologist","Empathy, Diagnosis, Therapy Techniques","BA Psychology"
"Counseling","School Counselor","Active Listening, Problem Solving, Patience","BA Psychology"
"Organizational Psychology","HR Analyst","Data Analysis, Employee Assessment, Communication","BA Psychology"
"Forensic Psychology","Forensic Psychologist","Criminal Behavior, Report Writing, Observation","BA Psychology"
"Research","Research Assistant","Statistical Analysis, Literature Review, Critical Thinking","BA Psychology"
"Accounting","Accountant","Bookkeeping, Tax Laws, Attention to Detail","BBS"
