Interest,Career Goal,Skills,Course
Urban Studies,Community Development Officer,"Community Outreach, Grant Writing, Qualitative Analysis",BA Sociology
Criminology,Juvenile Probation Officer,"Case Management, Conflict Resolution, Report Writing",BA Sociology
Gender Studies,DEI Coordinator,"Cultural Competency, Program Evaluation, Public Speaking",BA Sociology
Public Health,Health Educator,"Survey Design, Statistical Awareness, Communication",BA Sociology
Anthropology,Market Research Analyst,"Ethnographic Observation, Trend Analysis, SPSS",BA Sociology
Demography,Policy Advisor,"Data Interpretation (Census), Policy Brief Writing, Critical Thinking",BA Sociology
Child Development,School Counselor,"Active Listening, Empathy, Behavioral Observation",BA Psychology
Cognitive Science,UX Researcher,"Experimental Design, Usability Testing, User Interviews",BA Psychology
Organizational Behavior,Human Resources Generalist,"Conflict Mediation, Recruitment, Emotional Intelligence",BA Psychology
Neuroscience,Mental Health Technician,"Crisis Intervention, Patient Documentation, Observational Skills",BA Psychology
Sports Studies,Performance Coach,"Motivation Techniques, Goal Setting, Team Dynamics Analysis",BA Psychology
